ID,代表名,別名1,別名2,別名3,別名4,別名5,別名7,別名8,別名9,別名10,別名11,将星録,烈風伝,嵐世記,蒼天録,天下創世,革新,天道,創造,大志,天翔記-誕生,将星録-誕生,烈風伝-誕生,嵐世記-誕生,蒼天録-誕生,天下創世-誕生,革新-誕生,天道-誕生,創造-誕生,大志-誕生,天翔記-死亡,将星録-死亡,烈風伝-死亡,嵐世記-死亡,蒼天録-死亡,天下創世-死亡,革新-死亡,天道-死亡,創造-死亡,大志-死亡,天翔記-列伝,将星録-列伝,烈風伝-列伝,嵐世記-列伝,蒼天録-列伝,天下創世-列伝,革新-列伝,天道-列伝,創造-列伝,大志-列伝,列伝-有効
312,松浦 鎮信,松浦 源三郎,,,,,,式部卿 法印,,,平戸 法印,651,312,1222,1389,926,919,1225,1718,919,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,肥前平戸城主。隆信の子。秀吉から朱印状を受けて海外通商を行う。スペイン船寄港への尽力、オランダ・イギリス商館の設立など、平戸貿易隆盛に貢献した。,隆信の子。父の隠居により肥前平戸城主となる。豊臣秀吉から朱印状を授かり、海外通商を行う。オランダ・イギリス商館を設立し、平戸貿易を隆盛に導いた。,隆信の子。父の隠居により肥前平戸城主となる。豊臣秀吉から朱印状を授かり、海外通商を行う。オランダ・イギリス商館を設立し、平戸貿易を隆盛に導いた。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,肥前の豪族。平戸城主。隆信の子。豊臣秀吉の九州征伐軍に従う。海外通商を行い、唐船・南蛮船の寄港に尽力。関ヶ原合戦で東軍に属し、所領を安堵された。,10
313,相良 義陽,相良 四郎太郎,,,,,,,,,,665,313,1256,1433,948,941,1254,1776,941,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,父・晴広の死後、祖父・上村頼興の後見で弱冠１２歳で家督を継ぐ。二度の家中争乱を乗り切って、島津軍と戦ったが、１５８１年、同家に屈する。,晴広の嫡男。父の死後、祖父・上村頼興に後見されて家督を継ぐ。２度の内乱を乗り切って領国を拡大した。島津軍の配下として阿蘇家と戦い戦死する。,晴広の嫡男。父の死後、祖父・上村頼興に後見されて家督を継ぐ。２度の内乱を乗り切って領国を拡大した。島津軍の配下として阿蘇家と戦い戦死する。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。,10
314,相良 頼房,相良 四郎次郎,,,,,相良 長毎,,,,,666,314,1257,1434,949,942,1255,1777,942,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,肥後人吉城主。豊臣秀吉の九州征伐の際に協力し、所領安堵を受ける。関ヶ原の合戦の際には西軍に属したが、家臣の絶妙の外交で相良家の存続に成功した。,義陽の次男。兄・忠房が夭逝したため家督を継ぐ。豊臣秀吉の九州征伐軍に協力し、肥後人吉で２万石を領す。関ヶ原合戦で東軍に内応し、所領を保った。,義陽の次男。兄・忠房が夭逝したため家督を継ぐ。豊臣秀吉の九州征伐軍に協力し、肥後人吉で２万石を領す。関ヶ原合戦で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。,10
315,深水 長智,,,,,,深水 宗方,,,,,664,315,1267,1442,954,947,1263,1781,947,1531,1533,1532,1532,1531,1531,1531,1531,1531,1531,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,相良家臣。犬童頼安と共に相良家を支えた忠臣。特に渉外の才に優れ、島津家や豊臣家との交渉に使者として立ち、相良家の存続に心を砕いた。,相良家臣。渉外の才に優れる。犬童頼安とともに相良家を支えた重臣。島津家や豊臣家に使者として赴き、相良家の存続に力を尽くした。,相良家臣。渉外の才に優れる。犬童頼安とともに相良家を支えた重臣。島津家や豊臣家に使者として赴き、相良家の存続に力を尽くした。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,相良家臣。戦死した主君・義陽の子・忠房の地位を島津家に認めさせ、肥後国人一揆の際は上坂して誤解を解くなど、外交面で活躍し、主家の存続に尽力した。,10
316,犬童 頼安,犬童 軍七,,,,,,,,,,663,316,1262,1439,951,944,1260,1778,944,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,相良家臣。武勇に優れる一方外交能力にも秀でる。阿蘇家との戦いで、主君・義陽が戦死すると、幼主・頼房を補佐して相良家の存続を全うさせた。,相良家臣。武勇に優れる。肥後水俣城での合戦などで活躍した。主君・義陽が戦死すると、深水長智とともに幼主・頼房を補佐し、主家の存続に尽力した。,相良家臣。武勇に優れる。肥後水俣城での合戦などで活躍した。主君・義陽が戦死すると、深水長智とともに幼主・頼房を補佐し、主家の存続に尽力した。,相良家臣。武勇にすぐれ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,相良家臣。武勇に優れ、各地で活躍。肥後水俣城攻防戦では敵将・新納忠元と連歌を応酬した。主君・義陽の死後は、深水長智とともに幼主・頼房を補佐した。,10
317,伊東 義祐,伊東 六郎五郎,,伊東 三位入道,,,,,,,,671,317,1270,1444,956,949,1266,1785,949,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,日向の豪族。伊東家最大の版図を築く。しかし島津軍の侵略により、豊後に追われる。日向奪回のために大友宗麟を頼るが、大友軍が敗れ、伊予に逃れた。,日向都於郡城主。伊東家最大の版図を築く。島津軍に敗れ、豊後の大友宗麟を頼った。大友軍が耳川合戦で島津軍に敗れると、伊予へ逃れた。,日向都於郡城主。伊東家最大の版図を築く。島津軍に敗れ、豊後の大友宗麟を頼った。大友軍が耳川合戦で島津軍に敗れると、伊予へ逃れた。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗した後は、各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,10
318,伊東 祐兵,伊東 六郎三郎,,,,,,,,,,673,318,1273,1447,958,951,1268,1788,951,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,日向飫肥藩初代藩主。島津家の日向侵攻後、豊臣秀吉に仕え、旧領回復に成功。関ヶ原合戦では、日向国内で唯一東軍に属した。間もなく病に倒れ、死去。,義祐の子。豊臣秀吉の九州征伐の先導役を務め、日向飫肥３万６千石の旧領を回復する。関ヶ原合戦では東軍に属すが、戦後間もなく病死した。,義祐の子。豊臣秀吉の九州征伐の先導役を務め、日向飫肥３万６千石の旧領を回復する。関ヶ原合戦では東軍に属すが、戦後間もなく病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。,10
319,島津 忠良,島津 菊三郎,,,,,島津 日新斎,,,,,0,0,1292,1469,972,965,1289,1816,965,1492,#N/A,#N/A,1493,1493,1493,1493,1493,1493,1493,1568,#N/A,#N/A,1568,1568,1568,1568,1568,1568,1568,島津家の分家の出身であるが、子・貴久を本家の後継者にすることに成功した。封建秩序の確立・家臣団の統率に努め、所領を拡大した。島津家の中興の祖。,#N/A,#N/A,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,伊作島津家１０代当主。嫡男・貴久に島津宗家の家督を継がせる。「いろは歌」を作って家臣の教育にあたるなど、島津家隆盛の基盤を作った島津家中興の祖。,8
320,島津 家久,島津 又七郎,,,,,,,,,,688,320,1298,1475,978,971,1295,1823,971,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,島津貴久の四男。沖田畷合戦でわずか三千の兵で六万の龍造寺軍を破った。秀吉の九州征伐軍に降伏、豊臣秀長と会見。その直後に急死した。毒殺ともいう。,貴久の四男。沖田畷合戦では３千の兵で６万の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長と会見するが、その直後に急死した。,貴久の四男。沖田畷合戦では３千の兵で６万の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長と会見するが、その直後に急死した。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,島津家臣。貴久の四男。永吉島津家の祖となる。沖田畷合戦の際は１０倍の兵力の龍造寺軍を破る。豊臣秀吉の九州征伐軍に降り、豊臣秀長との会見後に急死。,10
321,種子島 時尭,,,種子島 時堯,,,,,,,,684,321,1309,1487,987,981,1306,1837,981,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,１５４３年、種子島に漂着のポルトガル商人より鉄砲を購入、これを分析して国産銃「種子島銃」を産み出した。島津家と琉球との橋渡し役としても知られる。,島津家臣。種子島を領する。種子島に漂着したポルトガル商人より鉄砲を２挺購入し、これを分析・改良して国産の「種子島銃」を製造した。,島津家臣。種子島を領する。種子島に漂着したポルトガル商人より鉄砲を２挺購入し、これを分析・改良して国産の「種子島銃」を製造した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したぽるとがる船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,島津家臣。種子島の領主。恵時の嫡男。大隅の豪族・禰寝家と抗争した。種子島に漂着したポルトガル船から鉄砲を入手し、分析・改良して国産化に成功した。,10
322,諏訪 頼満,諏訪 宮法師丸,,,,,,,,,諏訪 碧雲斎,0,0,678,705,0,0,0,575,1552,1480,#N/A,#N/A,1480,1480,#N/A,#N/A,#N/A,1480,1480,1539,#N/A,#N/A,1539,1539,#N/A,#N/A,#N/A,1539,1539,諏訪家中興の英主といわれる。諏訪下社の金刺家を追放して、諏訪地方の統一に成功。隣国・甲斐を領有する武田信虎と数回に渡って合戦を繰り広げた。,#N/A,#N/A,信濃の戦国大名。諏訪大社の大祝を務める。金刺家を滅ぼして諏訪地方を平定、隣国の武田信虎と戦うなど、諏訪家の勢力回復に尽力した、諏訪家中興の英主。,信濃の戦国大名。諏訪大社の大祝を務める。金刺家を滅ぼして諏訪地方を平定、隣国の武田信虎と戦うなど、諏訪家の勢力回復に尽力した、諏訪家中興の英主。,#N/A,#N/A,#N/A,信濃の戦国大名。諏訪大社の大祝を務める。金刺家を滅ぼして諏訪地方を平定、隣国の武田信虎と戦うなど、諏訪家の勢力回復に尽力した、諏訪家中興の英主。,信濃の戦国大名。諏訪大社の大祝を務める。金刺家を滅ぼして諏訪地方を平定、隣国の武田信虎と戦うなど、諏訪家の勢力回復に尽力した、諏訪家中興の英主。,5
323,伊集院 忠朗,伊集院 源四郎,,,,,,,,,,682,323,1300,1478,979,973,1298,1829,973,1501,1502,1502,1502,1502,1502,1502,1502,1502,1502,????,????,????,1561,1566,1566,1566,1566,1566,1566,島津家臣。貴久に従い、薩摩統一戦に活躍。大隅国加治木城攻めでは、日本で初めて鉄砲を実践利用している。後に島津家の老中となり、治政にも参加した。,島津家臣。貴久に従って薩摩統一戦に活躍した。大隅加治木城攻めでは、日本で初めて鉄砲を実戦に使用する。のちに老中に就任し、島津家の政治に参画した。,島津家臣。貴久に従って薩摩統一戦に活躍した。大隅加治木城攻めでは、日本で初めて鉄砲を実戦に使用する。のちに老中に就任し、島津家の政治に参画した。,島津家臣。知勇にすぐれ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,島津家臣。知勇に優れ、主家の薩摩統一に貢献した。大隅加治木城攻めの際には日本で初めて鉄砲を実戦に使用した。のちに老中に就任し、国政に参画した。,10
324,伊集院 忠棟,伊集院 源太,,,,,,,,,,692,324,1302,1480,981,975,1300,1831,975,1550,1553,1553,1553,1547,1547,1547,1547,1547,1547,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,島津家臣。豊臣秀吉の九州遠征軍に敗北後、その人質となる。秀吉の覚えめでたく、陪臣ながら主家と対等の待遇を受けるが、島津忠恒に謀殺された。,忠倉の子。島津家臣。豊臣秀吉に敗北すると、人質となる。主家と同等の扱いで所領を安堵されるが、主君・忠恒に疑われ、手討ちにされた。,忠倉の子。島津家臣。豊臣秀吉に敗北すると、人質となる。主家と同等の扱いで所領を安堵されるが、主君・忠恒に疑われ、手討ちにされた。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,島津家臣。忠倉の子。老中を務めた。豊臣秀吉の九州征伐軍に敗れ、人質となった。秀吉から主家と同格の扱いを受けたため、主君・忠恒と対立して殺された。,10
325,新納 忠元,新納 次郎四郎,,,,,,新納 拙斎,,,新納 為舟,683,325,1311,1490,988,983,1309,1808,983,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,島津家の一族・新納家の出身で、義久の側近。「鬼武蔵」の異名を持つ猛将である一方、「二才咄格式定目」を定めて郷中教育の基礎を作った文武両道の人。,島津家臣。「鬼武蔵」の異名をとった猛将。各地の合戦で武功をたてる。「二才咄格式定目」を記して家臣教育の模範を定め、優秀な家臣を育てた。,島津家臣。「鬼武蔵」の異名をとった猛将。各地の合戦で武功をたてる。「二才咄格式定目」を記して家臣教育の模範を定め、優秀な家臣を育てた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,島津家臣。薩摩馬越城攻めや肥後経略など、各地の合戦で活躍し、島津家の看経所に名を残した４人のうちの１人。「二才咄格式定目」を著して子弟を戒めた。,10
